# symbol	chr	start	length	strand	hg38	19369
A1BG	chr19	58345182	8310	-
A1CF	chr10	50799408	86219	-
A2M	chr12	9067707	48212	-
A2ML1	chr12	8822620	54167	+
A3GALT2	chr1	33306765	14333	-
A4GALT	chr22	42692120	28750	-
A4GNT	chr3	138123712	8678	-
AAAS	chr12	53307459	14151	-
AACS	chr12	125065434	77882	+
AADAC	chr3	151814115	14373	+
AADACL2	chr3	151733926	27413	+
AADACL3	chr1	12716109	12651	+
AADACL4	chr1	12644084	22992	+
AADAT	chr4	170060221	29735	-
AAGAB	chr15	67200666	53995	-
AAK1	chr2	69457996	185743	-
AAMDC	chr11	77821143	51209	+
AAMP	chr2	218264128	6009	-
AANAT	chr17	76467602	2515	+
AAR2	chr20	36236477	20456	+
AARD	chr8	116938206	6281	+
AARS1	chr16	70252297	37209	-
AARS2	chr6	44298730	14617	-
AARSD1	chr17	42950525	13929	-
AASDH	chr4	56338289	49202	-
AASDHPPT	chr11	106077661	21034	+
AASS	chr7	122073548	70701	-
AATF	chr17	36948953	107918	+
AATK	chr17	81117294	48927	-
ABAT	chr16	8674616	109954	+
ABCA1	chr9	104781005	147150	-
ABCA10	chr17	69148006	80818	-
ABCA12	chr2	214931541	207085	-
ABCA13	chr7	48171457	476040	+
ABCA2	chr9	137007233	21004	-
ABCA3	chr16	2275880	64848	-
ABCA4	chr1	93992833	128315	-
ABCA5	chr17	69244310	82823	-
ABCA6	chr17	69078701	63194	-
ABCA7	chr19	1040106	25466	+
ABCA8	chr17	68867288	88104	-
ABCA9	chr17	68974487	86440	-
ABCB1	chr7	87503016	97868	-
ABCB10	chr1	229516581	42126	-
ABCB11	chr2	168920780	110544	-
ABCB4	chr7	87401695	73985	-
ABCB5	chr7	20615666	141342	+
ABCB6	chr2	219209771	9187	-
ABCB7	chrX	75051047	105236	-
ABCB8	chr7	151028449	19333	+
ABCB9	chr12	122928991	37472	-
ABCC1	chr16	15949615	193438	+
ABCC10	chr6	43427540	22887	+
ABCC11	chr16	48165772	81767	-
ABCC12	chr16	48080881	75112	-
ABCC2	chr10	99782639	69955	+
ABCC3	chr17	50634880	57373	+
ABCC4	chr13	95019834	281617	-
ABCC5	chr3	183919933	97951	-
ABCC6	chr16	16149564	73930	-
ABCC8	chr11	17392884	83961	-
ABCC9	chr12	21797388	144038	-
ABCD1	chrX	153724855	19900	+
ABCD2	chr12	39550032	69771	-
ABCD3	chr1	94418388	100275	+
